%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
22367.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_217,no commment
22367.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_218,no commment
22667.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_219,no commment
22067.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_220,no commment
22967.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_221,no commment
22967.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_222,no commment
23567.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_223,no commment
23567.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_224,no commment
23267.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_225,no commment
23267.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_226,no commment
22967.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_227,no commment
22967.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_228,no commment
23567.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_229,no commment
23567.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_230,no commment
23267.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_231,no commment
23267.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_232,no commment
22667.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_233,no commment
22667.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_234,no commment
22367.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_235,no commment
22367.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_236,no commment
22067.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_237,no commment
22067.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_238,no commment
22067.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_239,no commment
22667.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_240,no commment
22367.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_241,no commment
23267.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_242,no commment
22967.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_243,no commment
23567.692,4687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_244,no commment
25367.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_245,no commment
25367.692,5287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_246,no commment
25067.692,4987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_247,no commment
